,predicted,target,err,delta
20076,0.174372,0.172026,0.002346,0.002346
71841,0.293862,0.291494,0.002368,0.002368
24252,0.121737,0.119442,0.002295,0.002295
14036,0.160158,0.156903,0.003255,0.003255
47892,0.567183,0.565652,0.001531,0.001531
39333,0.138692,0.136859,0.001833,0.001833
53534,0.124063,0.120485,0.003578,0.003578
3130,0.281714,0.278596,0.003118,0.003118
62066,0.161083,0.159293,0.001790,0.001790
78163,0.162341,0.160815,0.001527,0.001527
55589,0.357416,0.356679,0.000736,0.000736
91743,0.086289,0.082817,0.003472,0.003472
25139,0.477651,0.476212,0.001439,0.001439
49442,0.482805,0.481091,0.001713,0.001713
82515,0.537935,0.535116,0.002819,0.002819
99489,0.412034,0.410197,0.001837,0.001837
78901,0.270117,0.267678,0.002439,0.002439
74103,-0.001732,0.000000,0.001733,-0.001733
95440,0.576386,0.574134,0.002252,0.002252
32566,0.569729,0.567902,0.001827,0.001827
47451,0.094571,0.090019,0.004552,0.004552
15197,0.597496,0.595831,0.001665,0.001665
29106,0.053074,0.049144,0.003930,0.003930
18151,0.581616,0.579116,0.002500,0.002500
50429,0.538437,0.537228,0.001209,0.001209
24169,0.202143,0.200667,0.001475,0.001475
37349,0.348827,0.346744,0.002082,0.002082
34214,0.053909,0.050916,0.002993,0.002993
3777,0.179664,0.178562,0.001102,0.001102
6913,0.267100,0.266076,0.001024,0.001024
13399,0.349819,0.349997,0.000179,-0.000179
1748,0.240151,0.239717,0.000434,0.000434
8233,0.302891,0.301915,0.000976,0.000976
95663,0.151058,0.151518,0.000460,-0.000460
18182,0.321103,0.320529,0.000574,0.000574
65274,0.226813,0.224325,0.002488,0.002488
15625,0.305675,0.304055,0.001620,0.001620
56742,0.425768,0.424519,0.001249,0.001249
78429,0.304343,0.302324,0.002019,0.002019
97289,0.454015,0.452677,0.001338,0.001338
46439,0.036436,0.032775,0.003661,0.003661
41434,0.412517,0.410659,0.001858,0.001858
96037,0.216037,0.214642,0.001396,0.001396
6896,0.387518,0.386737,0.000782,0.000782
49680,0.078465,0.076298,0.002168,0.002168
4572,0.198468,0.196152,0.002316,0.002316
10048,0.039075,0.035473,0.003602,0.003602
47148,0.386252,0.384762,0.001490,0.001490
64599,0.232724,0.231063,0.001661,0.001661
39839,0.447305,0.446213,0.001092,0.001092
63693,0.590033,0.587083,0.002950,0.002950
4898,0.226152,0.223604,0.002548,0.002548
4904,0.022758,0.020666,0.002092,0.002092
79961,0.360832,0.361315,0.000483,-0.000483
5333,0.599972,0.598143,0.001829,0.001829
46148,0.523060,0.520297,0.002763,0.002763
96061,0.107064,0.103866,0.003198,0.003198
7191,0.388721,0.387841,0.000880,0.000880
16974,0.458840,0.457683,0.001157,0.001157
59107,0.328120,0.326515,0.001605,0.001605
59914,0.246538,0.244628,0.001911,0.001911
44474,0.415047,0.413713,0.001334,0.001334
91824,0.241162,0.237239,0.003923,0.003923
75817,0.318207,0.316021,0.002186,0.002186
25768,0.057395,0.054886,0.002510,0.002510
49523,-0.000502,0.000764,0.001265,-0.001265
80613,0.185004,0.183200,0.001804,0.001804
27538,0.327056,0.326958,0.000097,0.000097
23912,0.202005,0.200674,0.001331,0.001331
40188,0.274581,0.273716,0.000865,0.000865
62554,0.084965,0.081700,0.003265,0.003265
71668,0.459370,0.457728,0.001642,0.001642
61133,-0.002764,0.000000,0.002764,-0.002764
79438,0.328337,0.327969,0.000369,0.000369
75760,0.226356,0.223364,0.002992,0.002992
93525,0.271344,0.271089,0.000255,0.000255
3000,0.159854,0.158652,0.001201,0.001201
81599,0.460483,0.458274,0.002210,0.002210
88326,0.288981,0.285308,0.003673,0.003673
57413,0.428228,0.426973,0.001255,0.001255
99346,0.571041,0.569612,0.001429,0.001429
39540,0.302187,0.301027,0.001159,0.001159
11092,0.258155,0.256493,0.001662,0.001662
42813,0.154842,0.152158,0.002685,0.002685
97569,0.059294,0.055137,0.004157,0.004157
97124,0.600814,0.599172,0.001642,0.001642
24781,0.154192,0.151753,0.002440,0.002440
36840,0.174313,0.172255,0.002057,0.002057
86463,-0.003607,0.000000,0.003607,-0.003607
88491,0.140945,0.139032,0.001913,0.001913
60157,0.542066,0.540212,0.001854,0.001854
42953,0.501117,0.499498,0.001619,0.001619
75229,0.462236,0.461508,0.000728,0.000728
3977,0.271863,0.269721,0.002142,0.002142
55425,0.329505,0.329182,0.000323,0.000323
78861,0.402947,0.402070,0.000878,0.000878
63306,0.330104,0.329013,0.001091,0.001091
50954,0.425888,0.423903,0.001985,0.001985
82700,0.316100,0.313860,0.002240,0.002240
86591,0.369042,0.367800,0.001242,0.001242
80369,0.050933,0.046366,0.004567,0.004567
79471,0.097000,0.094464,0.002536,0.002536
17402,0.421569,0.420444,0.001125,0.001125
84373,0.010255,0.008750,0.001506,0.001506
19890,0.238675,0.237092,0.001583,0.001583
36717,0.118569,0.116793,0.001775,0.001775
60956,0.232129,0.230348,0.001781,0.001781
67743,0.082768,0.078831,0.003937,0.003937
7366,0.208510,0.207443,0.001067,0.001067
16295,0.101314,0.098583,0.002731,0.002731
26650,0.162419,0.159597,0.002822,0.002822
17348,0.096733,0.093528,0.003206,0.003206
22679,0.550484,0.547801,0.002682,0.002682
46263,0.198606,0.197158,0.001448,0.001448
27451,0.253305,0.251462,0.001842,0.001842
75738,0.418310,0.417011,0.001299,0.001299
70531,0.476394,0.475212,0.001181,0.001181
21667,0.359035,0.355875,0.003160,0.003160
73214,0.627145,0.625446,0.001699,0.001699
70774,0.232559,0.230921,0.001638,0.001638
10674,0.267328,0.263582,0.003746,0.003746
86018,0.462290,0.460747,0.001542,0.001542
73192,0.074127,0.070321,0.003806,0.003806
68374,0.153710,0.151932,0.001778,0.001778
62031,0.511742,0.509067,0.002675,0.002675
66850,0.261520,0.261599,0.000079,-0.000079
26171,0.308986,0.305890,0.003096,0.003096
15176,0.310680,0.310401,0.000279,0.000279
58939,0.244067,0.242733,0.001334,0.001334
94928,0.553721,0.551884,0.001836,0.001836
91089,0.417749,0.415755,0.001994,0.001994
44986,0.065019,0.061337,0.003683,0.003683
16671,0.254670,0.254067,0.000603,0.000603
28246,0.360802,0.358978,0.001825,0.001825
7886,0.336112,0.334514,0.001598,0.001598
91519,0.461745,0.459558,0.002188,0.002188
94839,0.091073,0.087956,0.003117,0.003117
18790,0.258043,0.258079,0.000036,-0.000036
31057,0.120765,0.117211,0.003554,0.003554
73737,0.226697,0.226631,0.000066,0.000066
94430,0.009716,0.007415,0.002301,0.002301
63914,0.052751,0.049317,0.003433,0.003433
6631,0.130705,0.130460,0.000245,0.000245
8327,0.601280,0.600939,0.000341,0.000341
11032,0.497780,0.495734,0.002047,0.002047
17695,0.266141,0.265554,0.000587,0.000587
4879,0.246933,0.246281,0.000652,0.000652
39595,0.301607,0.300490,0.001117,0.001117
65145,0.368562,0.367405,0.001157,0.001157
56651,0.192823,0.189536,0.003287,0.003287
67727,0.586273,0.584740,0.001533,0.001533
25383,0.408205,0.406403,0.001801,0.001801
85600,0.111407,0.110805,0.000602,0.000602
99987,0.530298,0.528204,0.002094,0.002094
45458,0.165432,0.162563,0.002869,0.002869
59221,0.161739,0.159778,0.001961,0.001961
37243,0.298731,0.295876,0.002854,0.002854
69334,0.212378,0.211544,0.000834,0.000834
86860,0.354884,0.353439,0.001445,0.001445
24716,0.374079,0.373097,0.000982,0.000982
96464,0.148269,0.146237,0.002032,0.002032
33015,0.502867,0.501260,0.001607,0.001607
70544,0.586608,0.584940,0.001668,0.001668
11848,0.083188,0.077956,0.005232,0.005232
77411,0.586798,0.584247,0.002551,0.002551
8424,0.496925,0.495740,0.001185,0.001185
40589,0.328059,0.327516,0.000543,0.000543
5500,0.582517,0.580228,0.002289,0.002289
95989,0.591817,0.590398,0.001419,0.001419
50036,0.099014,0.096333,0.002681,0.002681
49750,0.585231,0.583494,0.001737,0.001737
41082,0.303813,0.302174,0.001639,0.001639
86657,0.441959,0.440130,0.001829,0.001829
6558,0.306973,0.303244,0.003729,0.003729
5803,0.591324,0.590044,0.001280,0.001280
26642,0.144173,0.142331,0.001842,0.001842
98497,0.024548,0.023014,0.001534,0.001534
88036,0.530052,0.527421,0.002631,0.002631
43786,0.414086,0.412534,0.001552,0.001552
76641,0.641840,0.640591,0.001249,0.001249
92650,0.516053,0.514564,0.001489,0.001489
28515,0.311811,0.310602,0.001209,0.001209
11458,0.515867,0.513846,0.002021,0.002021
60382,0.456588,0.454975,0.001612,0.001612
98694,0.506778,0.505340,0.001438,0.001438
604,0.187344,0.185744,0.001600,0.001600
83305,0.452649,0.450324,0.002325,0.002325
90120,0.087356,0.084669,0.002688,0.002688
32193,0.165696,0.164545,0.001151,0.001151
17516,0.306391,0.303404,0.002986,0.002986
38936,0.302349,0.301593,0.000756,0.000756
57931,0.564636,0.562018,0.002618,0.002618
46802,0.312180,0.310560,0.001620,0.001620
59854,0.206458,0.204821,0.001636,0.001636
4440,0.403528,0.401896,0.001631,0.001631
25922,0.331286,0.330252,0.001033,0.001033
64864,0.293959,0.293116,0.000843,0.000843
93755,0.470068,0.467632,0.002436,0.002436
41527,0.506733,0.505892,0.000841,0.000841
30722,0.058578,0.055895,0.002683,0.002683
5933,0.027518,0.025172,0.002346,0.002346
20636,0.561162,0.558712,0.002450,0.002450
51922,0.096293,0.094169,0.002124,0.002124
77775,0.283613,0.282599,0.001014,0.001014
4074,0.207686,0.204720,0.002965,0.002965
79241,0.122702,0.120580,0.002122,0.002122
6127,0.365604,0.364486,0.001118,0.001118
8742,0.449806,0.448055,0.001751,0.001751
50066,0.094430,0.091262,0.003168,0.003168
22749,0.218764,0.217432,0.001332,0.001332
31964,0.335082,0.334100,0.000982,0.000982
57086,0.321240,0.317941,0.003298,0.003298
47730,0.482536,0.480781,0.001756,0.001756
47847,0.171034,0.168591,0.002443,0.002443
24423,0.229474,0.228277,0.001197,0.001197
23701,0.131514,0.128284,0.003230,0.003230
26060,0.223497,0.221982,0.001514,0.001514
54067,0.058128,0.053083,0.005045,0.005045
62247,0.476712,0.475444,0.001268,0.001268
8011,0.255157,0.253791,0.001365,0.001365
68298,0.194293,0.192188,0.002105,0.002105
57681,0.136312,0.133412,0.002900,0.002900
3489,0.120614,0.117156,0.003458,0.003458
30012,0.277361,0.275223,0.002139,0.002139
45082,0.205533,0.204512,0.001022,0.001022
1087,0.108413,0.104792,0.003621,0.003621
8178,0.547175,0.545300,0.001875,0.001875
15672,0.439148,0.437060,0.002088,0.002088
99400,0.587035,0.585708,0.001327,0.001327
17964,0.390220,0.389024,0.001196,0.001196
25341,0.342489,0.341851,0.000638,0.000638
54788,0.348866,0.348591,0.000275,0.000275
61357,0.274779,0.271540,0.003239,0.003239
74364,0.302141,0.300917,0.001224,0.001224
49780,0.284546,0.283526,0.001020,0.001020
33555,0.581937,0.579505,0.002432,0.002432
55670,0.366125,0.365088,0.001037,0.001037
87452,0.138323,0.136055,0.002268,0.002268
78620,0.191843,0.190680,0.001163,0.001163
1536,0.072709,0.069000,0.003709,0.003709
99621,0.101104,0.099709,0.001396,0.001396
5918,0.618239,0.616867,0.001372,0.001372
97540,0.414695,0.412435,0.002260,0.002260
28659,0.525142,0.522988,0.002154,0.002154
86420,0.439051,0.438461,0.000590,0.000590
5163,0.081066,0.078126,0.002940,0.002940
85593,0.539273,0.537229,0.002044,0.002044
35149,0.248716,0.246307,0.002409,0.002409
9499,0.397438,0.396376,0.001062,0.001062
61835,0.090267,0.086936,0.003332,0.003332
64691,0.405213,0.404237,0.000976,0.000976
80644,0.239395,0.238219,0.001176,0.001176
16759,0.325563,0.323960,0.001603,0.001603
32000,0.214526,0.213548,0.000978,0.000978
36938,0.047401,0.044647,0.002753,0.002753
81939,0.260155,0.259503,0.000653,0.000653
32109,0.514783,0.512642,0.002141,0.002141
96100,0.507142,0.505096,0.002046,0.002046
22823,0.018982,0.016170,0.002812,0.002812
57050,0.557252,0.554269,0.002983,0.002983
69511,0.283274,0.280852,0.002422,0.002422
57817,0.342692,0.342183,0.000509,0.000509
59723,0.482919,0.480605,0.002314,0.002314
42366,0.451134,0.449996,0.001138,0.001138
99729,0.424142,0.422798,0.001344,0.001344
69406,0.576496,0.574391,0.002105,0.002105
93351,0.546521,0.544828,0.001693,0.001693
9178,0.179110,0.178792,0.000319,0.000319
24471,0.137300,0.135268,0.002033,0.002033
84686,0.473561,0.471148,0.002413,0.002413
79883,0.462239,0.461103,0.001136,0.001136
70355,0.319713,0.319060,0.000653,0.000653
79253,0.185311,0.182572,0.002739,0.002739
14936,0.324250,0.323435,0.000814,0.000814
10840,0.213448,0.212255,0.001193,0.001193
90016,0.145307,0.142923,0.002384,0.002384
66884,0.396237,0.394537,0.001701,0.001701
26969,0.354577,0.352803,0.001774,0.001774
57825,0.230811,0.229193,0.001618,0.001618
245,0.282695,0.281176,0.001519,0.001519
4389,0.167327,0.165205,0.002122,0.002122
1013,0.005113,0.004031,0.001082,0.001082
61498,0.026233,0.024338,0.001895,0.001895
37942,0.391351,0.390076,0.001274,0.001274
88485,0.597983,0.593380,0.004603,0.004603
39018,0.230790,0.229360,0.001430,0.001430
19836,0.183108,0.180296,0.002811,0.002811
95802,0.272811,0.271748,0.001063,0.001063
41413,0.498867,0.496919,0.001948,0.001948
62463,0.322103,0.322339,0.000236,-0.000236
2617,0.290671,0.289520,0.001151,0.001151
60997,0.150704,0.147126,0.003578,0.003578
86822,0.095830,0.092142,0.003688,0.003688
45842,0.183025,0.182444,0.000581,0.000581
91916,0.191959,0.189818,0.002141,0.002141
314,0.087093,0.084350,0.002742,0.002742
63512,0.567341,0.565029,0.002312,0.002312
57361,0.162276,0.159628,0.002648,0.002648
33188,0.182045,0.179820,0.002225,0.002225
32144,0.281659,0.280620,0.001039,0.001039
25953,0.151762,0.150018,0.001744,0.001744
2265,0.292152,0.292276,0.000125,-0.000125
32520,0.049813,0.047137,0.002677,0.002677
49837,0.028532,0.025186,0.003346,0.003346
76462,0.012976,0.011407,0.001569,0.001569
63937,0.317375,0.315481,0.001894,0.001894
30582,0.380524,0.379502,0.001022,0.001022
90808,0.348148,0.346956,0.001193,0.001193
30751,0.463120,0.460657,0.002462,0.002462
61112,0.507614,0.505916,0.001698,0.001698
76415,0.290744,0.288950,0.001794,0.001794
11370,0.358518,0.357686,0.000832,0.000832
12403,0.096354,0.093261,0.003093,0.003093
19334,0.255636,0.253732,0.001904,0.001904
88065,0.276228,0.275309,0.000920,0.000920
42857,-0.000211,0.001342,0.001552,-0.001552
46626,0.229938,0.228500,0.001437,0.001437
57040,0.278340,0.276890,0.001450,0.001450
33184,0.305872,0.303105,0.002767,0.002767
76127,0.322602,0.321501,0.001101,0.001101
69067,0.195352,0.192560,0.002792,0.002792
4836,0.088841,0.086153,0.002688,0.002688
21472,0.123745,0.121341,0.002404,0.002404
6824,0.203009,0.201065,0.001944,0.001944
44877,0.458230,0.455829,0.002401,0.002401
78215,0.095236,0.091528,0.003708,0.003708
99766,0.089278,0.085928,0.003350,0.003350
91557,0.060210,0.057738,0.002472,0.002472
26161,0.345424,0.344024,0.001400,0.001400
74577,0.123024,0.121336,0.001688,0.001688
49126,0.348578,0.346808,0.001770,0.001770
88931,0.067101,0.062475,0.004626,0.004626
87849,0.450028,0.449016,0.001013,0.001013
19872,0.186630,0.183455,0.003175,0.003175
84001,0.252653,0.250537,0.002115,0.002115
64064,0.586387,0.582872,0.003514,0.003514
72187,0.494640,0.492138,0.002502,0.002502
21728,0.274791,0.275074,0.000283,-0.000283
98551,0.544258,0.541875,0.002383,0.002383
15219,0.129148,0.125941,0.003207,0.003207
15686,0.289725,0.287786,0.001939,0.001939
61347,0.573629,0.568922,0.004708,0.004708
59569,0.021569,0.018934,0.002635,0.002635
10904,0.189909,0.188634,0.001275,0.001275
28200,0.387739,0.386183,0.001556,0.001556
45786,0.282566,0.281781,0.000785,0.000785
63968,0.364006,0.362883,0.001122,0.001122
30457,0.249360,0.246370,0.002990,0.002990
71345,0.107376,0.104565,0.002811,0.002811
92827,0.006595,0.005121,0.001475,0.001475
13929,0.464496,0.462590,0.001906,0.001906
40360,0.276510,0.275417,0.001093,0.001093
29490,0.169256,0.167107,0.002150,0.002150
80239,0.264511,0.263208,0.001303,0.001303
12160,0.395399,0.393893,0.001506,0.001506
90040,0.188321,0.187043,0.001278,0.001278
99885,0.583766,0.581751,0.002015,0.002015
89383,0.563876,0.562612,0.001263,0.001263
96370,0.467894,0.466374,0.001520,0.001520
56978,0.232375,0.230569,0.001806,0.001806
22660,0.253236,0.250998,0.002238,0.002238
15746,0.337965,0.335945,0.002020,0.002020
64803,0.211448,0.210810,0.000637,0.000637
88829,0.526874,0.525064,0.001810,0.001810
45362,0.509032,0.507228,0.001804,0.001804
3406,0.323291,0.321615,0.001676,0.001676
84998,0.582168,0.580268,0.001900,0.001900
61364,0.510058,0.507999,0.002059,0.002059
14187,0.464500,0.461918,0.002582,0.002582
74997,0.044394,0.043103,0.001291,0.001291
4229,0.510615,0.507912,0.002703,0.002703
97777,0.261799,0.262211,0.000412,-0.000412
13888,0.097772,0.094689,0.003083,0.003083
69622,0.306125,0.303500,0.002624,0.002624
79454,0.176340,0.174980,0.001360,0.001360
61694,0.368010,0.366354,0.001656,0.001656
57471,0.442805,0.441805,0.000999,0.000999
90688,0.436534,0.434705,0.001829,0.001829
73043,0.475462,0.473312,0.002150,0.002150
71904,0.094633,0.091885,0.002748,0.002748
65468,0.037475,0.034960,0.002516,0.002516
45512,0.071863,0.067755,0.004108,0.004108
44372,0.249474,0.248376,0.001098,0.001098
43006,0.180739,0.179043,0.001696,0.001696
84672,0.131476,0.130085,0.001391,0.001391
2331,0.078760,0.075760,0.003001,0.003001
13253,0.106924,0.103026,0.003898,0.003898
80747,0.410930,0.408641,0.002290,0.002290
39094,0.055483,0.052901,0.002582,0.002582
39206,0.419702,0.417950,0.001753,0.001753
42260,0.025622,0.022037,0.003584,0.003584
17208,0.094326,0.089948,0.004379,0.004379
9222,0.613713,0.612746,0.000967,0.000967
57063,0.051612,0.049076,0.002536,0.002536
68614,0.084069,0.081090,0.002978,0.002978
60193,0.046379,0.043690,0.002689,0.002689
56685,0.300149,0.299427,0.000722,0.000722
94877,0.284300,0.282846,0.001454,0.001454
57629,0.005613,0.004031,0.001582,0.001582
63866,0.464118,0.463532,0.000586,0.000586
9730,0.014373,0.011148,0.003225,0.003225
99601,0.200373,0.197924,0.002450,0.002450
86198,0.333626,0.331984,0.001642,0.001642
25676,0.267546,0.266361,0.001186,0.001186
27719,0.472719,0.471479,0.001239,0.001239
78580,0.220337,0.219187,0.001151,0.001151
86797,0.399520,0.396420,0.003100,0.003100
68482,0.497051,0.495748,0.001303,0.001303
82373,0.491382,0.489862,0.001520,0.001520
39471,0.487618,0.485431,0.002187,0.002187
3753,0.421418,0.420020,0.001398,0.001398
64216,0.421251,0.419511,0.001739,0.001739
80130,0.048614,0.044380,0.004235,0.004235
11878,0.109466,0.108484,0.000982,0.000982
96269,0.350879,0.349598,0.001281,0.001281
50121,0.531901,0.530594,0.001307,0.001307
28617,0.345899,0.346108,0.000209,-0.000209
40630,0.243582,0.241322,0.002260,0.002260
36567,0.361539,0.359356,0.002184,0.002184
55488,0.287818,0.287834,0.000016,-0.000016
6839,0.324272,0.323271,0.001000,0.001000
11800,0.443552,0.440949,0.002603,0.002603
62343,0.318536,0.318262,0.000275,0.000275
45293,0.216432,0.214945,0.001488,0.001488
7036,0.152528,0.150815,0.001713,0.001713
25222,0.120190,0.116503,0.003688,0.003688
91539,0.317019,0.315747,0.001272,0.001272
16629,0.258950,0.257677,0.001273,0.001273
74673,0.093983,0.091066,0.002917,0.002917
4450,0.505695,0.503759,0.001937,0.001937
3697,0.008288,0.006080,0.002208,0.002208
61214,0.602371,0.601411,0.000960,0.000960
31919,0.038870,0.036606,0.002264,0.002264
59732,0.158633,0.155336,0.003297,0.003297
72208,0.045034,0.040807,0.004227,0.004227
16337,0.286946,0.287122,0.000176,-0.000176
52883,0.044304,0.041294,0.003010,0.003010
78898,0.016469,0.015011,0.001459,0.001459
79546,0.232029,0.229390,0.002639,0.002639
17513,0.133010,0.130589,0.002421,0.002421
26061,0.554893,0.552391,0.002502,0.002502
43449,0.605486,0.604662,0.000824,0.000824
36932,0.461326,0.458216,0.003110,0.003110
27432,0.422368,0.420679,0.001689,0.001689
6513,0.112666,0.110353,0.002312,0.002312
15965,0.480368,0.478709,0.001659,0.001659
24873,0.275033,0.273945,0.001088,0.001088
65507,0.416399,0.413830,0.002570,0.002570
55995,0.614422,0.613454,0.000967,0.000967
87557,0.183765,0.182329,0.001436,0.001436
24334,0.522866,0.521356,0.001510,0.001510
98580,0.439078,0.438037,0.001042,0.001042
32197,0.204783,0.204329,0.000454,0.000454
33674,0.437586,0.436264,0.001322,0.001322
17264,0.202690,0.200340,0.002349,0.002349
30957,0.285562,0.284880,0.000682,0.000682
62336,0.138309,0.135255,0.003054,0.003054
35534,0.284141,0.282159,0.001982,0.001982
27782,0.459239,0.457953,0.001285,0.001285
52596,0.128673,0.127461,0.001213,0.001213
29947,0.328608,0.326526,0.002082,0.002082
55769,0.419782,0.419060,0.000722,0.000722
8930,0.578088,0.575604,0.002484,0.002484
95858,0.389897,0.388035,0.001863,0.001863
40113,0.018598,0.016865,0.001733,0.001733
68856,0.476014,0.474367,0.001647,0.001647
23736,0.333502,0.333374,0.000128,0.000128
98593,0.047767,0.044892,0.002875,0.002875
58120,0.421030,0.419707,0.001323,0.001323
97638,0.377837,0.376471,0.001367,0.001367
76322,0.230451,0.228567,0.001884,0.001884
31563,0.349641,0.349544,0.000098,0.000098
63663,0.093461,0.092607,0.000854,0.000854
40804,0.215400,0.213141,0.002258,0.002258
88685,0.170722,0.168835,0.001887,0.001887
62263,0.068407,0.064680,0.003727,0.003727
39501,0.480547,0.478569,0.001977,0.001977
35648,0.163901,0.160847,0.003054,0.003054
55156,0.500650,0.498949,0.001701,0.001701
71299,0.200732,0.198934,0.001798,0.001798
66619,0.464565,0.463484,0.001081,0.001081
32095,0.230588,0.228894,0.001694,0.001694
22314,0.410129,0.408024,0.002105,0.002105
77438,0.573370,0.570435,0.002935,0.002935
44951,0.156695,0.155566,0.001129,0.001129
53349,0.002411,0.003912,0.001501,-0.001501
40825,0.048474,0.045640,0.002834,0.002834
22841,0.167516,0.166449,0.001067,0.001067
13712,0.112154,0.108141,0.004013,0.004013
64511,0.054255,0.051126,0.003129,0.003129
47527,0.377748,0.375705,0.002043,0.002043
88337,0.110286,0.108271,0.002015,0.002015
86311,0.068576,0.065822,0.002754,0.002754
26391,0.339740,0.339238,0.000502,0.000502
66303,0.045636,0.042804,0.002831,0.002831
21657,0.080130,0.077652,0.002478,0.002478
52322,0.001350,0.001683,0.000333,-0.000333
56431,0.307713,0.307358,0.000355,0.000355
75173,0.475011,0.475859,0.000848,-0.000848
99230,0.183357,0.181243,0.002114,0.002114
27102,0.462482,0.461860,0.000622,0.000622
31836,0.136442,0.134545,0.001897,0.001897
91907,0.494770,0.492849,0.001921,0.001921
24030,0.387089,0.384698,0.002391,0.002391
75775,-0.002448,0.000000,0.002449,-0.002449
18789,0.373158,0.371935,0.001223,0.001223
73322,0.132929,0.129473,0.003456,0.003456
74339,0.413356,0.408968,0.004387,0.004387
55245,0.145328,0.143779,0.001548,0.001548
73663,0.489078,0.487452,0.001625,0.001625
26319,0.074083,0.072187,0.001896,0.001896
45415,0.318163,0.316798,0.001365,0.001365
93964,0.208639,0.205790,0.002849,0.002849
84649,0.463654,0.462316,0.001338,0.001338
89803,0.185651,0.184077,0.001575,0.001575
61983,0.193726,0.192775,0.000952,0.000952
27465,0.026186,0.023822,0.002364,0.002364
5791,0.095079,0.093354,0.001725,0.001725
67128,0.120677,0.117611,0.003066,0.003066
82089,0.414792,0.414068,0.000724,0.000724
44128,0.565897,0.561543,0.004355,0.004355
28402,0.095512,0.093606,0.001906,0.001906
36179,0.284746,0.282321,0.002425,0.002425
68029,-0.002528,0.000000,0.002528,-0.002528
21020,0.343886,0.342552,0.001334,0.001334
35227,0.407310,0.405366,0.001943,0.001943
96142,0.099744,0.098594,0.001150,0.001150
67341,0.458323,0.456493,0.001830,0.001830
66564,0.264134,0.263482,0.000652,0.000652
24497,0.303676,0.300667,0.003009,0.003009
47421,0.089460,0.085320,0.004139,0.004139
2010,0.409748,0.408962,0.000786,0.000786
99818,-0.003080,0.000000,0.003080,-0.003080
56067,0.097919,0.095002,0.002917,0.002917
4109,0.025317,0.022887,0.002429,0.002429
34676,0.478065,0.476133,0.001932,0.001932
68190,0.119435,0.117359,0.002076,0.002076
61325,-0.001017,0.000026,0.001042,-0.001042
46436,0.492049,0.489524,0.002525,0.002525
76211,-0.002081,0.000000,0.002081,-0.002081
71424,0.077768,0.073667,0.004101,0.004101
42190,0.491004,0.489461,0.001543,0.001543
27199,0.037644,0.033704,0.003939,0.003939
11378,0.513406,0.511620,0.001786,0.001786
75037,0.283461,0.282473,0.000988,0.000988
59519,0.303750,0.299828,0.003922,0.003922
66925,0.338548,0.338053,0.000495,0.000495
5083,0.076983,0.074061,0.002921,0.002921
87760,0.609733,0.607251,0.002482,0.002482
2126,0.168721,0.165706,0.003014,0.003014
57613,0.543195,0.541445,0.001751,0.001751
50910,0.429563,0.428452,0.001111,0.001111
69766,0.479997,0.478126,0.001871,0.001871
12590,0.362978,0.361372,0.001606,0.001606
13215,0.502449,0.500949,0.001500,0.001500
52597,0.163526,0.161167,0.002359,0.002359
55018,0.286757,0.283188,0.003569,0.003569
67380,0.348118,0.347370,0.000748,0.000748
