k,theta,sigma,v0,rho,T,Strike,Price
0.557619,0.716616,0.474459,0.498260,-0.324572,1.631137,0.847240,0.261949
0.483765,0.226263,0.790962,0.074504,-0.502177,0.366904,1.053240,0.092566
0.452184,0.500393,0.193398,0.776419,-0.447233,1.422029,1.038600,0.404265
0.635333,0.109975,0.887487,0.666530,-0.390406,1.153887,1.000360,0.270830
0.610484,0.359852,0.148254,0.072765,-0.198148,1.698029,1.155240,0.318317
0.130830,0.468793,0.269232,0.084379,-0.857093,1.024129,1.095560,0.179714
0.371598,0.312373,0.690873,0.468714,-0.904613,0.874438,0.615080,0.067307
0.298041,0.733206,0.039156,0.083747,-0.238045,1.673687,0.691240,0.082719
0.038264,0.424711,0.085290,0.753272,-0.130333,0.358854,0.973720,0.189126
0.844224,0.120008,0.124197,0.383631,-0.586921,0.478071,1.302200,0.369105
0.283785,0.458522,0.579300,0.738973,-0.611572,0.094929,1.061160,0.140234
0.531483,0.521328,0.375162,0.741896,-0.909959,1.143538,0.993800,0.323582
0.133602,0.159982,0.268341,0.024970,-0.550489,0.164888,0.879640,0.001396
0.345957,0.733838,0.531483,0.647570,-0.763439,0.399104,1.191160,0.318434
0.597516,0.322248,0.155580,0.473217,-0.946588,1.838138,0.901800,0.267705
0.079151,0.420445,0.237453,0.577576,-0.099247,0.313046,1.373560,0.437533
0.425850,0.168040,0.216861,0.364039,-0.294476,0.556271,1.122280,0.248657
0.636027,0.598985,0.804426,0.061627,-0.749677,1.891038,0.666040,0.102418
0.578904,0.538392,0.878379,0.101522,-0.439114,1.906946,1.195800,0.372075
0.834621,0.274374,0.698991,0.751455,-0.745222,0.268962,0.954280,0.143782
0.747798,0.401090,0.026187,0.256203,-0.141421,0.489379,1.371640,0.418333
0.182310,0.082404,0.631176,0.492730,-0.481882,1.413021,0.746600,0.149375
0.779378,0.085959,0.902436,0.268765,-0.910454,0.699446,0.796840,0.066772
0.454064,0.230687,0.818682,0.682092,-0.836105,1.856346,1.249720,0.471384
0.607020,0.021021,0.911147,0.768914,-0.104989,0.359429,1.154520,0.293192
0.351303,0.466739,0.054501,0.603093,-0.362884,0.228521,0.682760,0.023824
0.930849,0.302814,0.948075,0.321774,-0.655331,0.797579,0.863720,0.116741
0.308733,0.158876,0.018762,0.298232,-0.345856,0.505479,1.258040,0.329074
0.857291,0.701922,0.520296,0.699078,-0.790960,0.471554,1.247480,0.383081
0.748689,0.184156,0.887586,0.790718,-0.901940,1.998563,1.025720,0.330144
0.944610,0.042588,0.140631,0.342551,-0.879169,0.300204,0.736360,0.022370
0.477825,0.425817,0.060639,0.313163,-0.110533,1.499271,1.361880,0.540616
0.312099,0.699236,0.998762,0.010119,-0.332788,0.232162,1.281800,0.282113
0.163599,0.376284,0.114296,0.265131,-0.739382,0.355787,1.247240,0.292724
0.346155,0.023628,0.097862,0.076795,-0.242698,0.643671,0.909480,0.044227
0.761657,0.152161,0.150729,0.363170,-0.930056,1.741538,0.692840,0.104964
0.256758,0.179969,0.943818,0.337258,-0.135382,1.689213,1.003240,0.239941
0.255470,0.567859,0.975498,0.174834,-0.677011,1.439088,0.646840,0.062764
0.247254,0.408516,0.858777,0.278561,-0.829471,0.797196,0.753800,0.074652
0.981834,0.402512,0.245076,0.462552,-0.043312,0.920821,0.803720,0.139623
0.863034,0.147579,0.452085,0.114241,-0.392782,1.253937,0.734680,0.045734
0.741461,0.640934,0.360510,0.369727,-0.291208,0.760396,0.865160,0.148436
0.594546,0.355664,0.526335,0.531124,-0.384070,1.140279,1.307320,0.489020
0.037275,0.220101,0.430602,0.344526,-0.707206,0.189038,1.375960,0.386770
0.960549,0.662343,0.175182,0.712745,-0.396742,0.644821,0.882440,0.192259
0.129444,0.568412,0.167460,0.173333,-0.749381,0.533079,0.743320,0.027683
0.774924,0.108316,0.678696,0.770572,-0.836896,0.598054,0.837800,0.147638
0.839670,0.526542,0.408723,0.785425,-0.941242,1.923813,0.735480,0.237423
0.440502,0.797354,0.909266,0.588241,-0.661766,0.795279,0.926920,0.212820
0.529998,0.183445,0.046977,0.667241,-0.862340,1.176696,0.732520,0.154252
0.036978,0.114162,0.045986,0.269950,-0.158251,1.048854,1.097000,0.270143
0.763440,0.179100,0.845610,0.490044,-0.707305,0.516212,0.779880,0.081233
0.849371,0.540841,0.181320,0.019204,-0.076774,0.898971,1.262280,0.337827
0.711564,0.631691,0.468717,0.084774,-0.123502,0.408688,1.308280,0.328429
0.263787,0.018651,0.179637,0.064945,-0.552866,1.050771,0.744200,0.016393
0.448124,0.562724,0.781656,0.174281,-0.694930,0.836488,0.871560,0.103283
0.461193,0.153425,0.912138,0.541315,-0.054202,0.180221,1.268920,0.311138
0.878775,0.721751,0.730275,0.365145,-0.901346,1.494288,0.733000,0.169165
0.735918,0.781870,0.125088,0.179574,-0.730075,0.924846,0.690520,0.071973
0.736511,0.684700,0.438720,0.461761,-0.974110,0.108729,1.204760,0.229839
0.884120,0.389319,0.599892,0.411755,-0.434065,0.561446,1.367560,0.440422
0.368231,0.104997,0.358035,0.394612,-0.349421,0.831504,0.931800,0.170910
0.910950,0.611151,0.023217,0.209673,-0.622066,1.833729,1.165240,0.452548
0.335166,0.038401,0.244284,0.352979,-0.807988,0.594221,1.247960,0.334373
0.885308,0.049066,0.458520,0.263156,-0.852440,1.198929,0.665640,0.048065
0.742551,0.377706,0.479607,0.183998,-0.907879,0.954363,1.005880,0.180849
0.665528,0.572283,0.809376,0.285513,-0.862834,1.025471,1.202760,0.334117
0.446640,0.638327,0.576924,0.587846,-0.309028,1.242438,0.962360,0.296373
0.647313,0.633587,0.219039,0.133991,-0.373873,0.714779,1.384440,0.437990
0.078459,0.555061,0.774825,0.039586,-0.337342,1.217521,0.900440,0.049017
0.124592,0.492730,0.636027,0.010750,-0.377239,1.333287,1.277480,0.292416
0.272697,0.242458,0.963618,0.759197,-0.970745,1.407271,1.032680,0.322359
0.698693,0.690072,0.847689,0.309292,-0.961537,0.500688,0.695960,0.047881
0.507822,0.274927,0.669192,0.496758,-0.501089,1.623663,0.974600,0.278153
0.026583,0.742449,0.900852,0.532546,-0.599792,0.268388,1.279640,0.332459
0.016089,0.673008,0.120533,0.525199,-0.040441,0.409263,1.364440,0.444449
0.246957,0.173649,0.249035,0.783371,-0.071725,0.910279,1.052440,0.347672
0.721266,0.356692,0.853728,0.282511,-0.222700,1.789838,0.896840,0.207458
0.520196,0.650493,0.414960,0.542263,-0.670181,1.672154,0.828840,0.253411
0.502178,0.580341,0.222900,0.086038,-0.332195,0.778413,0.999960,0.143232
0.328335,0.018730,0.350907,0.799724,-0.270220,1.307604,1.353400,0.604018
0.697604,0.241431,0.043215,0.238429,-0.709483,0.200154,1.223800,0.246505
0.265568,0.189844,0.281112,0.404092,-0.494455,0.477496,0.728920,0.051102
0.791952,0.130278,0.293289,0.775866,-0.938669,1.544504,1.003960,0.328445
0.274577,0.256993,0.400506,0.107131,-0.566032,0.632554,1.231880,0.259907
0.066183,0.460814,0.197457,0.520064,-0.668597,1.918063,1.197400,0.506172
0.514157,0.718670,0.474261,0.745293,-0.783932,1.685763,0.958520,0.368762
0.451590,0.411518,0.626721,0.460735,-0.934609,1.720454,1.071320,0.338605
0.099842,0.017940,0.191418,0.085011,-0.735916,0.135179,0.987000,0.036213
0.182409,0.739842,0.063015,0.273347,-0.449906,0.146871,1.015320,0.089125
0.799277,0.215519,0.532473,0.622685,-0.231313,0.747171,1.136280,0.328129
0.717999,0.036742,0.993219,0.512559,-0.062024,1.282879,1.144200,0.331655
0.620880,0.726965,0.112614,0.642356,-0.316750,1.445412,1.252600,0.558796
0.967479,0.222945,0.140433,0.209199,-0.498415,1.669471,0.762520,0.109805
0.819870,0.072450,0.723345,0.188659,-0.094792,0.528288,0.880200,0.057794
0.570489,0.232504,0.354075,0.268132,-0.490495,1.089487,1.064280,0.240860
0.424464,0.047248,0.406643,0.483171,-0.225572,1.336738,0.970280,0.251358
0.225573,0.017782,0.017573,0.168909,-0.544648,0.882104,0.768840,0.045260
0.923918,0.403065,0.623256,0.508688,-0.675131,1.675412,0.930920,0.272276
0.757499,0.746794,0.078062,0.681382,-0.601474,1.917488,0.936440,0.393214
0.199437,0.658393,0.925799,0.733680,-0.027968,0.100871,1.376440,0.395075
0.673944,0.594008,0.615039,0.638564,-0.057172,0.564321,0.774680,0.112031
0.043017,0.285829,0.506237,0.547477,-0.265270,0.467913,0.952760,0.169201
0.571182,0.375415,0.649095,0.181470,-0.427136,1.185896,1.343160,0.425650
0.325662,0.192451,0.229335,0.695997,-0.141025,1.910779,1.232680,0.561862
0.028265,0.744898,0.930453,0.393348,-0.749875,1.155037,0.927160,0.184219
0.697704,0.044800,0.754529,0.064549,-0.593554,0.117929,1.153320,0.153936
0.830067,0.239693,0.578705,0.577418,-0.242104,1.417813,0.876360,0.220339
0.512772,0.562013,0.732750,0.557194,-0.398030,0.579463,1.248520,0.380025
0.427929,0.197033,0.937976,0.733838,-0.878180,0.454304,1.319000,0.411438
0.222702,0.419892,0.084101,0.097808,-0.544054,1.719688,0.725320,0.070355
0.123800,0.253202,0.202605,0.606964,-0.328531,0.799304,0.606280,0.071259
0.991635,0.149870,0.620484,0.461288,-0.233392,0.746213,1.070600,0.243576
0.233691,0.193557,0.140730,0.439247,-0.303187,1.463813,1.274360,0.487854
0.805713,0.799013,0.061926,0.328094,-0.944905,1.867654,0.957960,0.357931
0.515643,0.450307,0.405257,0.562487,-0.114295,0.462162,0.611560,0.034365
0.753341,0.169699,0.160332,0.730994,-0.650182,1.575937,0.652920,0.138768
0.172509,0.631928,0.927483,0.472427,-0.085090,0.192104,1.368760,0.394823
0.987378,0.466028,0.036186,0.384500,-0.890852,1.543354,1.035640,0.336572
0.673053,0.527885,0.512177,0.517220,-0.641768,1.315846,1.191560,0.430173
0.966489,0.273742,0.954113,0.669769,-0.409513,1.909054,1.103400,0.387692
0.783735,0.186289,0.221217,0.016834,-0.454261,1.344979,0.760280,0.035368
0.362687,0.671981,0.676616,0.066130,-0.661864,1.388871,1.148600,0.268896
0.730176,0.375968,0.012327,0.098441,-0.153598,0.155496,1.160040,0.169507
