,predicted,target,err,delta
34451,0.561924,0.555829,0.006095,0.006095
34080,0.346961,0.346383,0.000578,0.000578
63587,0.165419,0.163367,0.002053,0.002053
4293,0.083344,0.079636,0.003708,0.003708
69102,0.368785,0.368598,0.000187,0.000187
86411,0.578121,0.576316,0.001805,0.001805
99476,0.306112,0.303897,0.002215,0.002215
53929,0.460632,0.456638,0.003994,0.003994
87070,0.550544,0.549516,0.001028,0.001028
65083,0.231743,0.230061,0.001682,0.001682
30712,-0.002700,0.000000,0.002700,-0.002700
49182,0.351027,0.351140,0.000112,-0.000112
57234,0.061627,0.057659,0.003968,0.003968
15663,0.424778,0.424108,0.000670,0.000670
19966,0.208305,0.207227,0.001078,0.001078
91912,0.131037,0.129333,0.001704,0.001704
91957,0.532387,0.532001,0.000386,0.000386
81346,0.326327,0.325131,0.001196,0.001196
55325,0.215885,0.215474,0.000411,0.000411
29857,0.223311,0.223824,0.000513,-0.000513
71222,0.435326,0.432834,0.002492,0.002492
52458,0.218056,0.216398,0.001657,0.001657
88345,0.283936,0.283643,0.000293,0.000293
82363,0.516866,0.515863,0.001002,0.001002
65349,0.370848,0.370457,0.000391,0.000391
59649,0.535868,0.532577,0.003290,0.003290
44952,0.523581,0.522044,0.001537,0.001537
39525,0.274018,0.273696,0.000321,0.000321
13935,0.502701,0.500972,0.001729,0.001729
93780,0.020700,0.019467,0.001233,0.001233
89884,-0.000844,0.000267,0.001112,-0.001112
81143,0.102099,0.099247,0.002852,0.002852
95799,0.225538,0.225383,0.000155,0.000155
89404,0.525618,0.524348,0.001270,0.001270
55223,0.509334,0.507523,0.001811,0.001811
73645,0.196557,0.195373,0.001184,0.001184
66293,0.306295,0.305293,0.001002,0.001002
65539,0.520306,0.519540,0.000766,0.000766
28110,0.370212,0.370541,0.000329,-0.000329
41928,0.183085,0.180813,0.002272,0.002272
86546,0.413392,0.410460,0.002932,0.002932
82585,0.340633,0.336857,0.003776,0.003776
38603,0.247038,0.245403,0.001634,0.001634
91657,0.236211,0.235904,0.000308,0.000308
62786,0.455366,0.454956,0.000410,0.000410
84340,0.350298,0.347538,0.002760,0.002760
39874,0.561724,0.559788,0.001936,0.001936
78468,0.567868,0.566480,0.001388,0.001388
31631,0.501184,0.498900,0.002284,0.002284
14952,0.208685,0.209480,0.000795,-0.000795
39331,0.118007,0.116881,0.001126,0.001126
48587,0.045185,0.042085,0.003100,0.003100
83594,0.430119,0.429397,0.000722,0.000722
41487,0.347484,0.347108,0.000376,0.000376
39627,0.281285,0.280907,0.000378,0.000378
87894,0.344623,0.344988,0.000365,-0.000365
26303,0.012420,0.010726,0.001694,0.001694
67403,0.002616,0.002986,0.000370,-0.000370
98084,0.206370,0.205908,0.000461,0.000461
95601,0.424919,0.422901,0.002018,0.002018
5019,0.320496,0.319653,0.000844,0.000844
5223,0.392255,0.391217,0.001038,0.001038
15780,0.457349,0.455022,0.002326,0.002326
45556,0.111917,0.109750,0.002167,0.002167
12896,0.183870,0.183206,0.000664,0.000664
34304,0.432800,0.431664,0.001135,0.001135
93322,0.198927,0.198837,0.000090,0.000090
5324,0.497116,0.495244,0.001871,0.001871
52925,0.231392,0.230205,0.001187,0.001187
62864,0.135706,0.133418,0.002288,0.002288
8018,0.176046,0.176038,0.000009,0.000009
82944,0.238942,0.238137,0.000805,0.000805
90376,0.135252,0.135279,0.000028,-0.000028
41720,0.102587,0.101154,0.001433,0.001433
866,0.177480,0.176452,0.001028,0.001028
98443,0.271054,0.270985,0.000070,0.000070
83039,0.587067,0.585031,0.002036,0.002036
13924,0.603548,0.601374,0.002174,0.002174
79892,0.476095,0.475310,0.000786,0.000786
31183,0.098246,0.097250,0.000997,0.000997
13799,0.108129,0.106576,0.001553,0.001553
40988,0.031104,0.029804,0.001300,0.001300
66733,0.029327,0.026583,0.002744,0.002744
78330,0.530709,0.528592,0.002117,0.002117
24378,0.589278,0.584576,0.004701,0.004701
23414,0.359813,0.360108,0.000295,-0.000295
97559,0.258049,0.258063,0.000014,-0.000014
22992,0.085959,0.082754,0.003205,0.003205
3231,0.182620,0.179406,0.003214,0.003214
41995,0.102426,0.099729,0.002697,0.002697
49187,0.050764,0.049958,0.000805,0.000805
22514,0.256754,0.257514,0.000761,-0.000761
21325,0.475370,0.472400,0.002971,0.002971
86233,0.388876,0.388862,0.000014,0.000014
88126,0.205164,0.202940,0.002224,0.002224
29823,0.360192,0.359681,0.000511,0.000511
92484,0.439933,0.438283,0.001649,0.001649
68424,0.209774,0.208399,0.001375,0.001375
64483,0.402116,0.401373,0.000744,0.000744
51019,0.093534,0.091344,0.002190,0.002190
26753,0.203093,0.203732,0.000639,-0.000639
49963,0.249461,0.249829,0.000369,-0.000369
42731,0.282431,0.281840,0.000592,0.000592
29056,0.434142,0.432730,0.001412,0.001412
55317,0.448489,0.447948,0.000541,0.000541
35496,0.321070,0.320410,0.000661,0.000661
56337,0.174292,0.171553,0.002739,0.002739
79277,0.279524,0.277746,0.001778,0.001778
5464,0.113030,0.110553,0.002477,0.002477
70155,0.596574,0.594192,0.002382,0.002382
70669,0.213921,0.213715,0.000206,0.000206
56013,0.093656,0.090865,0.002791,0.002791
12085,0.554658,0.552126,0.002532,0.002532
56818,0.275890,0.275170,0.000720,0.000720
20000,0.271736,0.269325,0.002410,0.002410
69066,0.359053,0.358859,0.000194,0.000194
50452,0.511296,0.509759,0.001537,0.001537
90709,0.375578,0.374362,0.001216,0.001216
52884,0.553005,0.551143,0.001861,0.001861
30963,0.426454,0.426120,0.000335,0.000335
34573,0.465178,0.463800,0.001378,0.001378
15294,0.547770,0.545517,0.002254,0.002254
27918,-0.000179,0.000857,0.001036,-0.001036
46120,0.574742,0.571636,0.003106,0.003106
35073,0.098205,0.096337,0.001867,0.001867
10550,0.557428,0.555588,0.001840,0.001840
91127,0.222003,0.221943,0.000059,0.000059
690,0.162368,0.160516,0.001852,0.001852
77729,0.430830,0.430096,0.000734,0.000734
36096,0.368403,0.367668,0.000735,0.000735
65351,0.178285,0.175668,0.002617,0.002617
11040,0.343602,0.341948,0.001654,0.001654
4221,0.241127,0.240729,0.000397,0.000397
821,0.006713,0.005953,0.000760,0.000760
38128,0.045737,0.042486,0.003251,0.003251
89151,0.202452,0.202693,0.000241,-0.000241
29231,0.487592,0.486299,0.001293,0.001293
50556,0.133106,0.130909,0.002197,0.002197
33684,0.358111,0.356142,0.001968,0.001968
58753,0.198552,0.197830,0.000721,0.000721
27022,0.442712,0.441756,0.000956,0.000956
36905,0.163133,0.163067,0.000066,0.000066
270,0.046608,0.043552,0.003056,0.003056
8866,0.291151,0.289911,0.001240,0.001240
15006,0.550719,0.548138,0.002581,0.002581
4688,0.452537,0.452004,0.000533,0.000533
81995,0.094850,0.091824,0.003026,0.003026
84372,0.461141,0.459692,0.001449,0.001449
2514,0.318015,0.316241,0.001774,0.001774
36399,0.520269,0.518692,0.001577,0.001577
38868,0.097779,0.094968,0.002811,0.002811
58244,0.518774,0.516113,0.002661,0.002661
30409,0.121403,0.119099,0.002304,0.002304
54794,0.107704,0.105303,0.002401,0.002401
19263,0.152792,0.149713,0.003079,0.003079
83909,0.158690,0.156793,0.001897,0.001897
26973,0.497014,0.495493,0.001520,0.001520
7129,0.470708,0.466836,0.003872,0.003872
7144,0.479233,0.478460,0.000773,0.000773
45465,0.233234,0.231442,0.001792,0.001792
1966,0.028820,0.026720,0.002099,0.002099
15152,0.385154,0.385199,0.000044,-0.000044
19113,0.182314,0.183034,0.000719,-0.000719
76206,0.236250,0.234564,0.001686,0.001686
32141,0.231416,0.228244,0.003172,0.003172
21934,0.097300,0.095601,0.001699,0.001699
40359,0.040000,0.036900,0.003100,0.003100
53841,0.401248,0.401157,0.000091,0.000091
9162,0.416965,0.416217,0.000748,0.000748
87843,0.074608,0.072431,0.002177,0.002177
37629,0.405733,0.404371,0.001362,0.001362
83304,0.359500,0.358220,0.001280,0.001280
66269,0.219172,0.217435,0.001737,0.001737
34653,0.407562,0.405677,0.001885,0.001885
41962,0.259420,0.257756,0.001665,0.001665
39590,0.435542,0.435532,0.000009,0.000009
81035,0.250679,0.248603,0.002076,0.002076
10980,0.206573,0.207140,0.000567,-0.000567
56299,0.282892,0.282306,0.000587,0.000587
61548,0.198665,0.195349,0.003316,0.003316
88400,0.438217,0.436983,0.001234,0.001234
44323,0.591082,0.588544,0.002537,0.002537
55207,0.609873,0.607495,0.002377,0.002377
53527,0.559760,0.556773,0.002987,0.002987
26970,-0.000672,0.000400,0.001072,-0.001072
73217,0.505633,0.504748,0.000885,0.000885
65890,0.331727,0.330130,0.001598,0.001598
42221,0.169387,0.167230,0.002156,0.002156
97865,0.282408,0.279958,0.002450,0.002450
12250,0.199385,0.197462,0.001923,0.001923
69436,0.000630,0.001911,0.001281,-0.001281
38432,0.202697,0.203330,0.000633,-0.000633
40889,0.231040,0.230416,0.000624,0.000624
30998,0.143864,0.143217,0.000647,0.000647
56145,0.025245,0.022645,0.002599,0.002599
95413,0.146292,0.145750,0.000542,0.000542
22155,0.212771,0.210884,0.001887,0.001887
17613,0.223668,0.222194,0.001474,0.001474
56443,0.094062,0.092262,0.001800,0.001800
98399,0.156948,0.155168,0.001781,0.001781
24052,-0.000602,0.000682,0.001284,-0.001284
50242,0.161397,0.159664,0.001733,0.001733
58998,0.281133,0.278913,0.002219,0.002219
31344,0.056277,0.052947,0.003330,0.003330
61241,0.298298,0.298105,0.000193,0.000193
92529,0.294395,0.294194,0.000201,0.000201
80828,0.150681,0.148071,0.002609,0.002609
51725,0.562017,0.559554,0.002463,0.002463
33879,0.056421,0.053585,0.002835,0.002835
83006,0.380671,0.379394,0.001277,0.001277
73908,0.164572,0.163906,0.000666,0.000666
67246,0.423562,0.421316,0.002246,0.002246
88807,0.472002,0.470301,0.001701,0.001701
13121,0.269930,0.269400,0.000530,0.000530
8257,0.037393,0.034577,0.002816,0.002816
93380,0.414266,0.412328,0.001938,0.001938
13914,0.386339,0.385173,0.001166,0.001166
30902,0.433269,0.431010,0.002259,0.002259
72858,0.564468,0.563284,0.001184,0.001184
20292,0.586360,0.585232,0.001128,0.001128
58170,0.440374,0.439112,0.001262,0.001262
20949,0.567224,0.565130,0.002094,0.002094
36694,0.254185,0.253736,0.000449,0.000449
8525,0.351512,0.350883,0.000629,0.000629
78271,0.301745,0.301122,0.000623,0.000623
77402,0.135033,0.132766,0.002267,0.002267
77651,0.101320,0.102231,0.000911,-0.000911
99836,0.510477,0.509185,0.001292,0.001292
92271,0.347856,0.346485,0.001371,0.001371
29775,-0.000049,0.001477,0.001526,-0.001526
34807,0.088497,0.086361,0.002136,0.002136
16885,-0.000385,0.000711,0.001096,-0.001096
49983,0.331283,0.331232,0.000051,0.000051
62614,0.470633,0.468164,0.002469,0.002469
14228,0.103899,0.101940,0.001958,0.001958
52176,0.071107,0.069496,0.001610,0.001610
8028,0.550827,0.548564,0.002263,0.002263
28921,-0.000924,0.000220,0.001144,-0.001144
69419,0.217777,0.216669,0.001108,0.001108
70811,0.392713,0.390886,0.001827,0.001827
34363,0.260927,0.260232,0.000695,0.000695
43203,0.474339,0.472693,0.001646,0.001646
36794,-0.001418,0.000013,0.001431,-0.001431
97026,0.249545,0.250262,0.000717,-0.000717
63342,0.398146,0.397972,0.000174,0.000174
36955,0.408775,0.407790,0.000985,0.000985
69228,0.290542,0.290069,0.000473,0.000473
9423,-0.001310,0.000158,0.001468,-0.001468
86000,0.320507,0.320057,0.000450,0.000450
16958,0.235644,0.234409,0.001235,0.001235
21614,0.149376,0.148172,0.001204,0.001204
61461,0.493457,0.491199,0.002259,0.002259
61773,0.319931,0.317924,0.002007,0.002007
86801,0.518346,0.516437,0.001909,0.001909
67502,0.345208,0.345098,0.000110,0.000110
79370,0.607481,0.606699,0.000782,0.000782
34496,0.131329,0.128467,0.002862,0.002862
43008,0.218152,0.215581,0.002571,0.002571
91597,0.555687,0.553590,0.002097,0.002097
75438,0.354610,0.353248,0.001363,0.001363
29719,0.436434,0.435420,0.001013,0.001013
38606,0.256018,0.254657,0.001361,0.001361
77126,0.237956,0.237982,0.000025,-0.000025
97087,0.122071,0.119850,0.002221,0.002221
24626,-0.002772,0.000003,0.002775,-0.002775
61814,0.016529,0.014687,0.001842,0.001842
69755,0.313503,0.312799,0.000704,0.000704
11930,0.404617,0.403839,0.000777,0.000777
16160,0.469556,0.467437,0.002119,0.002119
47439,0.102966,0.100294,0.002672,0.002672
34605,0.396504,0.396015,0.000489,0.000489
14106,0.586012,0.584452,0.001560,0.001560
90650,0.128446,0.126192,0.002254,0.002254
98434,0.389253,0.388716,0.000537,0.000537
17502,0.243178,0.242740,0.000438,0.000438
63485,0.099177,0.097345,0.001832,0.001832
33075,0.101599,0.100869,0.000730,0.000730
79808,0.165687,0.163744,0.001943,0.001943
90790,0.182009,0.180566,0.001443,0.001443
93364,0.157038,0.156067,0.000972,0.000972
18292,0.579024,0.577524,0.001500,0.001500
43849,0.152580,0.149783,0.002797,0.002797
35067,0.077461,0.076504,0.000957,0.000957
61392,0.100497,0.097924,0.002572,0.002572
27381,0.173790,0.172492,0.001298,0.001298
85413,0.102297,0.101962,0.000335,0.000335
13797,0.072241,0.068552,0.003689,0.003689
1728,0.267607,0.266645,0.000962,0.000962
66100,0.416979,0.415540,0.001438,0.001438
7677,0.472077,0.471005,0.001072,0.001072
73314,0.388770,0.386998,0.001772,0.001772
69695,0.018752,0.017946,0.000806,0.000806
5438,0.418510,0.418023,0.000487,0.000487
73380,0.193724,0.192084,0.001640,0.001640
34590,0.589125,0.587220,0.001905,0.001905
8452,0.581345,0.579690,0.001655,0.001655
6234,0.369048,0.368005,0.001042,0.001042
56579,0.450403,0.448985,0.001418,0.001418
44068,0.035508,0.032251,0.003258,0.003258
73661,0.180822,0.180295,0.000528,0.000528
18241,0.544898,0.543958,0.000940,0.000940
72559,0.466506,0.464371,0.002135,0.002135
11372,0.339368,0.337963,0.001405,0.001405
53067,0.466483,0.466020,0.000463,0.000463
54396,0.514749,0.512824,0.001925,0.001925
60743,0.288822,0.288136,0.000687,0.000687
4232,0.213299,0.211295,0.002005,0.002005
66149,0.266150,0.264993,0.001157,0.001157
226,0.010461,0.009771,0.000691,0.000691
38050,0.271725,0.270470,0.001255,0.001255
75830,0.295196,0.294299,0.000896,0.000896
11712,0.346230,0.344657,0.001573,0.001573
89798,0.311856,0.311628,0.000227,0.000227
84721,0.094402,0.093060,0.001343,0.001343
11650,0.541884,0.539332,0.002552,0.002552
63792,0.400147,0.398749,0.001398,0.001398
18331,0.594848,0.591450,0.003398,0.003398
59464,0.465857,0.464458,0.001399,0.001399
31838,0.154656,0.152319,0.002337,0.002337
35887,0.508688,0.507072,0.001616,0.001616
70557,0.207984,0.206785,0.001199,0.001199
68841,0.089812,0.089308,0.000503,0.000503
44299,0.032487,0.030528,0.001959,0.001959
39431,0.217948,0.217145,0.000803,0.000803
71757,0.178227,0.175556,0.002670,0.002670
51266,0.579602,0.578867,0.000735,0.000735
49808,0.296153,0.294814,0.001339,0.001339
86688,0.570397,0.568140,0.002257,0.002257
61004,0.238193,0.237293,0.000900,0.000900
60770,0.050500,0.046986,0.003514,0.003514
87,0.509663,0.508047,0.001617,0.001617
77203,0.247226,0.246148,0.001078,0.001078
51987,0.476393,0.474292,0.002101,0.002101
82149,0.535802,0.533852,0.001950,0.001950
43733,0.118140,0.116039,0.002101,0.002101
95181,0.429973,0.428569,0.001405,0.001405
88476,0.200345,0.200561,0.000217,-0.000217
62005,0.212393,0.211982,0.000411,0.000411
30883,0.044074,0.042530,0.001543,0.001543
50766,0.455988,0.454239,0.001749,0.001749
74955,0.165920,0.163931,0.001989,0.001989
12750,0.189659,0.188653,0.001006,0.001006
36506,0.557332,0.554691,0.002642,0.002642
9937,0.053479,0.049886,0.003593,0.003593
18373,0.641225,0.639598,0.001627,0.001627
92220,0.552034,0.549755,0.002280,0.002280
90729,0.577587,0.573243,0.004345,0.004345
12396,0.476396,0.475756,0.000640,0.000640
94921,0.163222,0.160691,0.002532,0.002532
33801,0.217183,0.214666,0.002518,0.002518
1230,0.441032,0.439250,0.001783,0.001783
20334,0.593920,0.592201,0.001719,0.001719
78043,0.448017,0.448276,0.000259,-0.000259
40350,0.310640,0.309657,0.000983,0.000983
50862,0.506199,0.503767,0.002431,0.002431
65409,0.316055,0.315298,0.000757,0.000757
98465,0.129602,0.128557,0.001045,0.001045
83942,0.294893,0.294144,0.000749,0.000749
35640,0.358209,0.356364,0.001845,0.001845
76609,0.572874,0.566800,0.006074,0.006074
1045,0.565414,0.562448,0.002966,0.002966
97795,0.207681,0.204880,0.002801,0.002801
5937,0.311153,0.309325,0.001828,0.001828
57687,0.150300,0.147688,0.002612,0.002612
7895,0.135417,0.132675,0.002742,0.002742
87484,0.328146,0.329217,0.001071,-0.001071
17570,0.324231,0.323818,0.000413,0.000413
53064,0.068441,0.065113,0.003329,0.003329
11141,0.282141,0.281576,0.000565,0.000565
96936,0.154060,0.152666,0.001394,0.001394
50490,0.267890,0.268312,0.000422,-0.000422
33222,0.583599,0.581547,0.002053,0.002053
82506,0.343153,0.342415,0.000739,0.000739
36296,0.185629,0.185137,0.000492,0.000492
67924,0.330863,0.330105,0.000758,0.000758
94404,0.533062,0.531636,0.001426,0.001426
84992,0.248091,0.246279,0.001812,0.001812
62122,0.019031,0.017324,0.001707,0.001707
65743,0.103126,0.102804,0.000322,0.000322
40246,0.507952,0.505974,0.001978,0.001978
16361,0.537702,0.535747,0.001955,0.001955
55938,0.113483,0.113086,0.000396,0.000396
28674,0.202681,0.203548,0.000867,-0.000867
23957,0.434449,0.433484,0.000965,0.000965
7858,0.591293,0.589157,0.002136,0.002136
94212,0.195474,0.194224,0.001250,0.001250
63351,0.199913,0.198888,0.001025,0.001025
50198,0.213365,0.213725,0.000360,-0.000360
55238,0.170415,0.167969,0.002447,0.002447
98340,-0.002196,0.000000,0.002196,-0.002196
13705,0.165699,0.164826,0.000872,0.000872
13579,0.532701,0.530757,0.001945,0.001945
34570,0.256105,0.255491,0.000614,0.000614
93621,0.341684,0.340467,0.001217,0.001217
2104,0.391133,0.388838,0.002295,0.002295
74360,0.346461,0.346464,0.000003,-0.000003
85888,0.523430,0.522548,0.000882,0.000882
99906,-0.000864,0.000433,0.001297,-0.001297
56429,0.167956,0.165357,0.002598,0.002598
86502,0.017047,0.016004,0.001043,0.001043
12469,0.389491,0.387957,0.001534,0.001534
14778,0.214795,0.212508,0.002287,0.002287
27543,0.481675,0.480780,0.000895,0.000895
97976,0.018935,0.016989,0.001946,0.001946
46122,0.547961,0.545195,0.002766,0.002766
49368,0.370525,0.368945,0.001580,0.001580
1332,0.528140,0.525265,0.002875,0.002875
2360,0.511293,0.509300,0.001993,0.001993
82417,0.151051,0.148905,0.002146,0.002146
45148,0.347800,0.347893,0.000094,-0.000094
7841,0.249974,0.249232,0.000742,0.000742
86290,0.459121,0.457812,0.001309,0.001309
36034,0.524433,0.522369,0.002064,0.002064
18145,0.073107,0.070394,0.002714,0.002714
70745,0.398328,0.397950,0.000377,0.000377
78803,0.363903,0.363570,0.000333,0.000333
94235,0.114204,0.111067,0.003137,0.003137
52490,0.243119,0.242388,0.000731,0.000731
88894,0.529280,0.528107,0.001173,0.001173
59268,0.247148,0.245654,0.001494,0.001494
19662,0.263315,0.264824,0.001509,-0.001509
49825,0.556201,0.555284,0.000917,0.000917
1322,0.014021,0.012341,0.001680,0.001680
37623,0.184025,0.182383,0.001642,0.001642
20086,0.489413,0.487948,0.001465,0.001465
88365,0.552393,0.550149,0.002244,0.002244
92895,0.047093,0.045671,0.001422,0.001422
69587,0.000244,0.001242,0.000998,-0.000998
26586,0.206300,0.205621,0.000679,0.000679
39878,0.401165,0.401708,0.000543,-0.000543
75298,0.191694,0.191356,0.000339,0.000339
53978,0.254956,0.253774,0.001182,0.001182
49673,0.163108,0.160447,0.002661,0.002661
75961,0.140648,0.139223,0.001425,0.001425
25355,0.437123,0.436355,0.000767,0.000767
27733,0.083785,0.080346,0.003439,0.003439
18005,0.253241,0.251288,0.001953,0.001953
22672,0.602300,0.600347,0.001953,0.001953
50380,0.252386,0.251769,0.000616,0.000616
59038,0.270010,0.269410,0.000600,0.000600
43444,0.126972,0.125485,0.001487,0.001487
2280,0.128870,0.127253,0.001618,0.001618
77964,0.097634,0.097620,0.000014,0.000014
96125,0.424290,0.422515,0.001775,0.001775
77647,0.010410,0.009820,0.000590,0.000590
31431,0.059857,0.055933,0.003924,0.003924
31922,0.016276,0.014021,0.002256,0.002256
15808,0.431596,0.430431,0.001165,0.001165
85541,0.453735,0.451384,0.002351,0.002351
15495,0.230782,0.231230,0.000448,-0.000448
77431,0.045259,0.043504,0.001755,0.001755
57936,0.470018,0.470026,0.000008,-0.000008
18949,0.121114,0.117645,0.003469,0.003469
22583,0.418589,0.416991,0.001598,0.001598
6748,0.242472,0.240509,0.001963,0.001963
80573,0.503386,0.501991,0.001395,0.001395
53070,0.378963,0.377028,0.001934,0.001934
1402,0.381159,0.380366,0.000793,0.000793
37781,0.321086,0.319814,0.001272,0.001272
64679,0.311297,0.311362,0.000065,-0.000065
79960,0.256522,0.254238,0.002284,0.002284
23787,0.491377,0.489491,0.001886,0.001886
30418,0.258879,0.256987,0.001892,0.001892
59034,0.371617,0.370498,0.001119,0.001119
20330,0.371744,0.369786,0.001959,0.001959
95652,0.314038,0.312823,0.001216,0.001216
883,0.150338,0.148899,0.001439,0.001439
41515,0.382566,0.381787,0.000779,0.000779
14038,0.370787,0.369780,0.001007,0.001007
44969,0.105217,0.103951,0.001266,0.001266
32865,0.218085,0.216610,0.001476,0.001476
79368,0.253554,0.252719,0.000834,0.000834
3253,0.581497,0.579820,0.001677,0.001677
2937,0.371331,0.371178,0.000153,0.000153
36838,0.536055,0.534082,0.001973,0.001973
25039,0.639318,0.637572,0.001746,0.001746
23394,0.289576,0.287251,0.002326,0.002326
81992,0.579039,0.576402,0.002637,0.002637
56293,0.451662,0.449733,0.001929,0.001929
1318,0.421879,0.421129,0.000750,0.000750
95284,0.112045,0.110244,0.001801,0.001801
32592,0.234660,0.233537,0.001123,0.001123
86253,0.324397,0.323860,0.000537,0.000537
79994,0.095964,0.093673,0.002291,0.002291
63780,0.318087,0.318173,0.000086,-0.000086
37108,0.376304,0.375756,0.000548,0.000548
1349,0.603640,0.601667,0.001974,0.001974
4790,0.155902,0.155156,0.000746,0.000746
96594,0.497277,0.495884,0.001393,0.001393
87444,0.394938,0.394764,0.000174,0.000174
87607,0.458279,0.456605,0.001674,0.001674
84333,0.147853,0.147129,0.000724,0.000724
58134,0.071609,0.070309,0.001300,0.001300
18634,0.253411,0.252553,0.000859,0.000859
3393,0.190323,0.190588,0.000265,-0.000265
72228,0.563266,0.562633,0.000633,0.000633
37587,0.351981,0.350619,0.001363,0.001363
11446,0.290330,0.289539,0.000790,0.000790
92168,0.244452,0.243781,0.000671,0.000671
33054,0.460409,0.458844,0.001565,0.001565
93268,0.325244,0.323629,0.001615,0.001615
59808,0.269997,0.269588,0.000410,0.000410
61577,0.555672,0.553668,0.002004,0.002004
49660,0.450466,0.449111,0.001355,0.001355
11060,0.115279,0.115733,0.000454,-0.000454
1550,0.088366,0.088408,0.000042,-0.000042
80750,0.498037,0.496264,0.001773,0.001773
4510,0.263176,0.262521,0.000655,0.000655
26438,0.482214,0.481500,0.000714,0.000714
86708,0.420565,0.419970,0.000595,0.000595
83003,0.386197,0.385321,0.000876,0.000876
80166,0.038535,0.037206,0.001329,0.001329
48078,0.286549,0.285469,0.001080,0.001080
16301,0.241148,0.240605,0.000542,0.000542
17494,0.268353,0.268074,0.000279,0.000279
85698,0.164028,0.164053,0.000025,-0.000025
61705,0.042461,0.038550,0.003911,0.003911
49148,0.277731,0.276913,0.000818,0.000818
70172,0.044972,0.042130,0.002842,0.002842
96222,0.293182,0.290933,0.002249,0.002249
52412,0.198545,0.196010,0.002535,0.002535
97493,0.233794,0.232342,0.001452,0.001452
9093,0.233479,0.232266,0.001213,0.001213
6267,0.232480,0.230516,0.001964,0.001964
81823,0.273346,0.272691,0.000655,0.000655
