,predicted,target,err:
28889,0.326397,0.320244,0.006153
28200,0.501401,0.501508,0.000107
6346,0.541715,0.542225,0.000510
53402,0.299813,0.300855,0.001042
49804,0.289971,0.290315,0.000344
30946,0.674860,0.675590,0.000730
29141,0.054871,0.056938,0.002067
57103,0.496574,0.496231,0.000343
65011,0.024221,0.024497,0.000276
26779,0.305809,0.304761,0.001048
62627,0.358018,0.356695,0.001323
7385,0.264991,0.264274,0.000717
7956,0.255755,0.257342,0.001587
201,0.414705,0.412403,0.002302
27238,0.175156,0.182548,0.007392
29585,0.310650,0.313683,0.003033
55218,0.305716,0.306289,0.000573
3568,0.032122,0.034124,0.002002
39881,0.463125,0.461341,0.001784
46596,0.396507,0.394368,0.002139
22283,0.275151,0.279186,0.004035
8223,0.068211,0.070731,0.002520
2038,0.253586,0.253063,0.000523
48912,0.061066,0.062084,0.001018
36582,0.088206,0.091896,0.003690
11331,-0.006692,0.000605,0.007297
16256,0.350553,0.349623,0.000930
62811,0.156038,0.158714,0.002676
37722,0.399495,0.399600,0.000105
1204,0.031738,0.033609,0.001871
61188,0.062978,0.063486,0.000508
35339,0.024466,0.026632,0.002166
28590,0.128665,0.127531,0.001134
59239,0.603895,0.603629,0.000266
23020,0.624779,0.624061,0.000718
39299,0.116757,0.115560,0.001197
43524,0.310108,0.310588,0.000480
37636,0.055102,0.056755,0.001653
53396,0.039890,0.044825,0.004935
51657,0.067636,0.068699,0.001063
12689,0.469832,0.468151,0.001681
41636,0.278455,0.276855,0.001600
40999,0.276537,0.275664,0.000873
5225,0.196606,0.198722,0.002116
17928,0.092833,0.091810,0.001023
25862,0.063258,0.066241,0.002983
28701,0.203030,0.202840,0.000190
60954,0.108500,0.111156,0.002656
54246,0.225651,0.223259,0.002392
1395,0.212345,0.212758,0.000413
40830,0.346499,0.346036,0.000463
65060,0.417297,0.418611,0.001314
55384,0.202616,0.199641,0.002975
28023,0.174477,0.174397,0.000080
64220,0.329754,0.329944,0.000190
32504,0.490280,0.487889,0.002391
26647,0.364459,0.369350,0.004891
21028,0.278633,0.276577,0.002056
30422,0.532506,0.537392,0.004886
56586,0.099590,0.105820,0.006230
43999,0.400908,0.401898,0.000990
53942,0.133614,0.133441,0.000173
49668,0.167138,0.170609,0.003471
54267,0.007812,0.011668,0.003856
31790,0.425049,0.425829,0.000780
8932,0.482765,0.478934,0.003831
33288,0.124270,0.122813,0.001457
42479,0.544504,0.543598,0.000906
26920,0.352940,0.355167,0.002227
36118,0.069532,0.072337,0.002805
30388,0.093184,0.090240,0.002944
55505,0.171385,0.172518,0.001133
31842,0.198811,0.201344,0.002533
14764,0.091462,0.093937,0.002475
22613,-0.006717,0.000122,0.006839
43466,0.640672,0.639004,0.001668
25589,0.433693,0.433148,0.000545
40776,0.143792,0.142716,0.001076
19891,0.200970,0.199129,0.001841
12844,0.284687,0.284296,0.000391
52131,0.075826,0.078162,0.002336
3440,0.340606,0.340910,0.000304
58729,0.182272,0.181452,0.000820
42502,0.087458,0.089655,0.002197
50942,0.069632,0.073302,0.003670
58236,0.144600,0.145032,0.000432
12245,0.337645,0.338798,0.001153
51282,0.087973,0.089675,0.001702
6027,0.111094,0.111342,0.000248
59270,0.007229,0.009811,0.002582
3128,0.162016,0.162416,0.000400
56555,0.125756,0.126989,0.001233
27616,0.184331,0.183986,0.000345
21707,0.198713,0.197956,0.000757
25863,0.223029,0.223356,0.000327
4009,0.173871,0.172241,0.001630
28920,0.196014,0.196239,0.000225
5032,0.245652,0.244267,0.001385
42579,0.089270,0.091211,0.001941
63073,0.125364,0.124838,0.000526
54809,0.103151,0.104635,0.001484
52876,0.262526,0.261275,0.001251
27998,0.297821,0.297470,0.000351
52819,0.494232,0.495386,0.001154
21979,0.147855,0.145649,0.002206
44532,0.126685,0.125852,0.000833
24181,0.126110,0.126343,0.000233
38552,0.269490,0.268037,0.001453
8684,0.069667,0.071874,0.002207
24999,0.011757,0.019822,0.008065
62205,0.287964,0.286289,0.001675
21824,0.524721,0.525619,0.000898
19671,0.144101,0.143658,0.000443
43135,0.090185,0.094236,0.004051
44826,0.143461,0.146556,0.003095
28910,0.267317,0.264771,0.002546
58184,0.177219,0.176975,0.000244
6688,0.597806,0.596604,0.001202
18701,0.235312,0.234806,0.000506
3781,0.673031,0.671790,0.001241
13177,0.577212,0.573263,0.003949
4306,0.378729,0.381443,0.002714
57078,0.327659,0.326941,0.000718
44146,0.258934,0.258105,0.000829
58852,0.329496,0.330421,0.000925
65297,0.080819,0.081735,0.000916
28316,0.493141,0.493126,0.000015
56423,0.199683,0.198343,0.001340
44558,0.260019,0.260103,0.000084
26142,0.167669,0.167614,0.000055
52620,0.315949,0.317759,0.001810
31882,0.102420,0.104515,0.002095
6600,0.228329,0.226007,0.002322
2238,0.327662,0.325825,0.001837
7861,0.257805,0.257954,0.000149
47593,0.006287,0.010429,0.004142
25162,0.146733,0.148442,0.001709
66278,0.091485,0.094755,0.003270
19231,0.415547,0.416555,0.001008
9693,0.050964,0.052711,0.001747
31883,0.501503,0.499392,0.002111
6552,0.125475,0.127283,0.001808
40393,0.215138,0.212257,0.002881
58072,0.252608,0.252559,0.000049
16897,0.344418,0.342324,0.002094
41151,0.366392,0.365372,0.001020
15265,0.198550,0.200736,0.002186
2300,0.353302,0.350609,0.002693
66681,0.195757,0.194579,0.001178
9287,0.256494,0.257361,0.000867
9303,0.111123,0.113636,0.002513
43346,0.289791,0.290533,0.000742
58978,0.149303,0.151246,0.001943
56842,0.043911,0.045981,0.002070
45341,0.054428,0.058931,0.004503
15459,0.143935,0.145947,0.002012
38528,0.218218,0.216394,0.001824
27857,0.569569,0.566540,0.003029
4589,0.121251,0.122637,0.001386
66066,0.180263,0.182109,0.001846
17664,0.528098,0.526033,0.002065
14229,0.082795,0.084854,0.002059
56206,0.284021,0.285171,0.001150
65934,0.175949,0.174639,0.001310
27237,0.217168,0.215621,0.001547
299,0.300630,0.300384,0.000246
33253,0.112719,0.115008,0.002289
62910,0.024235,0.029352,0.005117
9768,0.162003,0.162570,0.000567
6081,0.019376,0.022969,0.003593
58485,0.332943,0.332184,0.000759
27741,0.394879,0.396192,0.001313
45102,0.048067,0.049547,0.001480
32148,0.325800,0.325823,0.000023
39936,0.064829,0.067843,0.003014
57756,0.225636,0.223209,0.002427
61167,0.341360,0.342925,0.001565
20554,0.400390,0.400161,0.000229
32164,0.071032,0.073267,0.002235
16293,0.214616,0.216471,0.001855
33883,0.400866,0.402540,0.001674
18031,0.491971,0.489456,0.002515
6206,0.278038,0.279562,0.001524
57544,0.006461,0.009143,0.002682
63345,0.144332,0.144216,0.000116
24557,0.316583,0.315661,0.000922
28012,0.290068,0.287772,0.002296
5219,0.115013,0.117846,0.002833
64690,0.510983,0.511357,0.000374
10463,0.159244,0.161203,0.001959
53945,0.566670,0.567815,0.001145
62779,0.191465,0.190298,0.001167
11035,0.275257,0.275378,0.000121
51780,0.392159,0.394864,0.002705
740,0.417179,0.415249,0.001930
23870,0.130137,0.131157,0.001020
52007,0.615971,0.619577,0.003606
36306,0.292284,0.293052,0.000768
49320,0.500778,0.504364,0.003586
11636,0.435013,0.434388,0.000625
23635,0.221341,0.220225,0.001116
27362,0.221797,0.223011,0.001214
4211,0.169725,0.169692,0.000033
44004,0.304496,0.305631,0.001135
25799,0.160218,0.158575,0.001643
64339,0.183858,0.183930,0.000072
64494,0.235862,0.230930,0.004932
58063,0.113571,0.112067,0.001504
36222,-0.005581,0.002870,0.008451
37223,0.067451,0.070444,0.002993
8671,0.125690,0.127443,0.001753
36588,0.432201,0.428585,0.003616
17893,0.254060,0.252278,0.001782
50031,0.201434,0.194748,0.006686
29993,0.019951,0.021702,0.001751
37946,0.226825,0.229210,0.002385
64489,0.491861,0.491885,0.000024
12104,0.082238,0.082487,0.000249
16545,0.215679,0.213863,0.001816
23295,0.335348,0.335285,0.000063
52496,0.296276,0.296274,0.000002
19232,0.163616,0.163157,0.000459
51477,0.348144,0.344248,0.003896
12947,0.228501,0.226556,0.001945
61374,0.238379,0.237635,0.000744
21488,0.352213,0.352802,0.000589
45395,0.052549,0.053528,0.000979
40104,0.064774,0.065891,0.001117
27842,0.205554,0.203569,0.001985
6863,0.062299,0.065826,0.003527
33735,0.510308,0.510789,0.000481
24683,0.381944,0.379528,0.002416
26517,0.172765,0.172378,0.000387
26130,0.381013,0.381782,0.000769
40636,0.295134,0.296213,0.001079
49034,0.393052,0.393782,0.000730
16325,0.101571,0.104484,0.002913
15130,0.171118,0.173238,0.002120
48341,0.345308,0.341494,0.003814
37218,0.399362,0.396494,0.002868
58970,0.483855,0.483632,0.000223
15113,0.160800,0.160909,0.000109
58176,0.352817,0.352720,0.000097
28501,0.101509,0.102259,0.000750
12762,0.009309,0.013600,0.004291
11121,0.142552,0.143288,0.000736
53903,0.293536,0.294051,0.000515
25540,0.334915,0.336011,0.001096
26387,0.245541,0.245561,0.000020
63289,0.161491,0.159005,0.002486
55624,0.027830,0.031546,0.003716
20631,0.016061,0.019893,0.003832
65761,0.062764,0.065713,0.002949
56812,0.122842,0.121523,0.001319
27893,0.134237,0.134327,0.000090
54900,0.023295,0.027377,0.004082
61502,0.383830,0.383031,0.000799
39736,0.417319,0.417567,0.000248
39231,0.275544,0.273345,0.002199
9666,0.472254,0.470985,0.001269
43844,0.191125,0.188145,0.002980
34343,0.232598,0.228906,0.003692
42789,0.348291,0.342908,0.005383
47791,0.283151,0.281350,0.001801
26458,0.125066,0.126343,0.001277
5940,0.132518,0.134451,0.001933
3,0.260468,0.261065,0.000597
50056,0.126402,0.129321,0.002919
13650,0.357763,0.358525,0.000762
19304,0.118721,0.118678,0.000043
59083,0.089852,0.093638,0.003786
18778,0.413879,0.414348,0.000469
42522,0.453648,0.450462,0.003186
41842,0.005039,0.006540,0.001501
36076,0.061134,0.063280,0.002146
37612,0.460910,0.460519,0.000391
54599,0.138779,0.141009,0.002230
61164,0.139160,0.139395,0.000235
56254,0.283804,0.283894,0.000090
19959,0.280878,0.279622,0.001256
21687,0.127101,0.126980,0.000121
43460,0.188787,0.185518,0.003269
21745,0.377440,0.377165,0.000275
22915,0.221161,0.220628,0.000533
44916,0.352288,0.352396,0.000108
56193,0.089818,0.091777,0.001959
46329,0.181978,0.183191,0.001213
38378,0.521263,0.521289,0.000026
30799,0.304093,0.303899,0.000194
33245,0.161687,0.160704,0.000983
912,0.106496,0.109678,0.003182
57741,0.137538,0.138428,0.000890
28759,0.402630,0.401914,0.000716
1052,0.319423,0.320376,0.000953
11287,0.061112,0.063222,0.002110
1984,0.234349,0.233601,0.000748
57493,0.132904,0.133631,0.000727
66828,0.239204,0.239609,0.000405
10798,0.280006,0.282762,0.002756
26826,0.425689,0.426350,0.000661
24792,0.271250,0.270771,0.000479
43604,0.218618,0.213576,0.005042
23445,0.373398,0.373903,0.000505
7738,0.210677,0.212840,0.002163
66586,0.245634,0.244357,0.001277
21241,0.584572,0.586134,0.001562
47140,0.015161,0.019405,0.004244
32754,0.161529,0.168159,0.006630
31684,0.356123,0.357387,0.001264
21232,0.189620,0.193125,0.003505
3945,0.011073,0.014645,0.003572
61561,0.323122,0.323334,0.000212
940,0.067658,0.068874,0.001216
27688,0.379913,0.379633,0.000280
26151,0.062326,0.064241,0.001915
24147,0.162857,0.163821,0.000964
32138,0.038185,0.042909,0.004724
43288,0.013184,0.013417,0.000233
13254,0.567170,0.565582,0.001588
56904,0.282073,0.286416,0.004343
24653,0.257934,0.247927,0.010007
66660,0.388095,0.388050,0.000045
31603,0.015427,0.022099,0.006672
57943,0.279831,0.278431,0.001400
64948,0.318592,0.318719,0.000127
48822,0.085722,0.089052,0.003330
35811,0.267374,0.266467,0.000907
62600,0.154552,0.154909,0.000357
36195,0.281615,0.280748,0.000867
3602,0.127810,0.127682,0.000128
35870,0.218939,0.218903,0.000036
29088,0.057607,0.059186,0.001579
11012,0.296574,0.297368,0.000794
48412,0.146591,0.146773,0.000182
60922,0.267631,0.268095,0.000464
11879,0.362187,0.360424,0.001763
498,0.004516,0.006432,0.001916
30288,0.318479,0.320525,0.002046
55669,0.395706,0.392740,0.002966
36107,0.224961,0.221111,0.003850
21930,0.170988,0.171569,0.000581
62965,0.567311,0.568352,0.001041
64350,0.296774,0.295191,0.001583
64951,0.089073,0.090041,0.000968
47473,0.418275,0.422960,0.004685
46955,0.092430,0.096064,0.003634
18271,0.012741,0.016737,0.003996
51308,0.103522,0.106485,0.002963
26262,0.077138,0.078577,0.001439
37318,0.308244,0.309160,0.000916
12310,0.171806,0.172916,0.001110
45405,0.396202,0.394570,0.001632
24292,0.414800,0.412324,0.002476
54520,0.028951,0.032969,0.004018
66571,0.112594,0.115892,0.003298
36553,0.024491,0.027641,0.003150
16824,0.324095,0.322718,0.001377
35832,0.230255,0.228469,0.001786
1521,0.193069,0.193531,0.000462
12927,0.231369,0.228650,0.002719
19460,0.007415,0.009938,0.002523
36031,0.321914,0.319745,0.002169
42266,0.412857,0.410927,0.001930
4047,0.165728,0.167047,0.001319
41415,0.256021,0.256547,0.000526
61066,0.042905,0.047081,0.004176
37475,0.447807,0.445717,0.002090
34780,0.305980,0.304255,0.001725
54966,0.159511,0.160351,0.000840
4915,0.278679,0.277199,0.001480
9600,0.519246,0.518796,0.000450
54991,0.187823,0.185728,0.002095
56020,0.336438,0.335454,0.000984
66370,0.098621,0.099912,0.001291
34668,0.180862,0.179619,0.001243
30754,0.141581,0.144156,0.002575
10591,0.106254,0.111176,0.004922
10229,0.564920,0.566255,0.001335
12980,-0.005595,0.001755,0.007350
24790,0.023721,0.026207,0.002486
24646,0.275100,0.275071,0.000029
15929,0.462024,0.461336,0.000688
57707,0.044262,0.046184,0.001922
11474,0.248481,0.248328,0.000153
377,0.524885,0.523365,0.001520
61306,0.362733,0.362754,0.000021
27205,0.067300,0.067324,0.000024
43232,0.149591,0.148629,0.000962
16900,0.584700,0.584962,0.000262
52159,0.257112,0.257539,0.000427
33072,0.115763,0.116041,0.000278
39820,0.333903,0.335203,0.001300
23607,0.392594,0.391564,0.001030
50974,0.143599,0.145387,0.001788
52461,0.219567,0.221329,0.001762
5991,0.177528,0.176412,0.001116
59465,0.430719,0.431546,0.000827
55002,0.331649,0.329333,0.002316
33460,0.026550,0.029685,0.003135
64562,0.162041,0.163115,0.001074
7001,0.288550,0.289455,0.000905
42606,0.329728,0.331098,0.001370
59621,0.170411,0.171878,0.001467
12395,0.314764,0.314599,0.000165
61232,0.176231,0.177387,0.001156
56936,0.121386,0.123999,0.002613
8379,0.140989,0.140256,0.000733
29526,0.156215,0.160567,0.004352
52263,0.208787,0.208116,0.000671
29242,0.282571,0.282639,0.000068
34388,0.138001,0.137687,0.000314
1804,0.240517,0.243181,0.002664
18153,0.138101,0.135951,0.002150
47019,0.329582,0.331301,0.001719
55553,0.412659,0.412283,0.000376
25983,0.052534,0.055970,0.003436
56181,0.518088,0.515958,0.002130
26493,0.415193,0.413824,0.001369
53993,0.024064,0.029090,0.005026
8757,0.037728,0.042590,0.004862
24980,0.243019,0.240605,0.002414
33088,0.346605,0.347410,0.000805
37188,0.260788,0.259923,0.000865
39543,0.011137,0.016164,0.005027
66173,0.412165,0.413018,0.000853
61166,0.195561,0.194503,0.001058
2388,0.148391,0.148327,0.000064
30591,0.503258,0.503766,0.000508
63410,0.007523,0.011913,0.004390
22976,0.139360,0.139946,0.000586
48176,0.209555,0.209871,0.000316
11715,0.287229,0.288577,0.001348
16902,0.060142,0.062135,0.001993
40036,0.146378,0.148025,0.001647
28978,0.397678,0.397594,0.000084
40976,0.384043,0.383175,0.000868
7911,0.406185,0.402699,0.003486
45756,0.033330,0.036520,0.003190
34652,0.363626,0.362387,0.001239
57869,0.415917,0.419315,0.003398
21402,0.212038,0.212026,0.000012
46198,0.512986,0.511325,0.001661
48857,0.182629,0.184351,0.001722
9289,0.232302,0.227673,0.004629
45381,0.106524,0.108080,0.001556
50079,0.209664,0.208394,0.001270
24461,0.629938,0.630177,0.000239
20137,0.074897,0.076982,0.002085
29383,0.087373,0.089318,0.001945
61271,0.032373,0.035780,0.003407
44998,0.085342,0.086403,0.001061
52574,0.361367,0.356639,0.004728
22823,0.373873,0.373475,0.000398
59433,0.509366,0.508895,0.000471
51141,0.130890,0.133544,0.002654
43777,0.081370,0.083498,0.002128
60366,0.341829,0.342246,0.000417
59301,0.185963,0.187049,0.001086
1533,0.087443,0.090443,0.003000
28631,0.526666,0.524614,0.002052
12206,0.366412,0.371070,0.004658
36858,0.444393,0.443386,0.001007
38844,0.335333,0.336035,0.000702
41871,0.060590,0.062135,0.001545
42172,0.083839,0.085983,0.002144
54930,0.075169,0.077182,0.002013
57838,0.404543,0.403155,0.001388
30546,0.138757,0.140931,0.002174
5893,0.134100,0.134051,0.000049
42995,0.168860,0.168955,0.000095
36266,-0.005509,0.003548,0.009057
34975,0.280211,0.279385,0.000826
14198,0.114537,0.116598,0.002061
37694,0.395651,0.394580,0.001071
56678,0.179791,0.181706,0.001915
11682,0.490566,0.492903,0.002337
53178,0.330587,0.330604,0.000017
11743,0.014472,0.020490,0.006018
54661,0.101574,0.103250,0.001676
14661,0.122837,0.125013,0.002176
30176,0.351648,0.352801,0.001153
46195,0.533618,0.534860,0.001242
59530,0.010466,0.014058,0.003592
4253,0.079923,0.082180,0.002257
5742,0.309888,0.309713,0.000175
62230,0.140060,0.141951,0.001891
15350,0.053004,0.056697,0.003693
47702,0.043618,0.049640,0.006022
5917,0.144940,0.145177,0.000237
17337,0.167386,0.168570,0.001184
34443,0.009572,0.012857,0.003285
41047,0.223098,0.220832,0.002266
27985,0.105998,0.109173,0.003175
10271,0.153663,0.154176,0.000513
14156,0.021843,0.023767,0.001924
56170,0.114547,0.115818,0.001271
35353,0.234178,0.229830,0.004348
59410,0.194911,0.193233,0.001678
13758,0.020854,0.023820,0.002966
26273,0.141218,0.143602,0.002384
45984,0.063274,0.065522,0.002248
18362,0.229994,0.231889,0.001895
46120,0.124407,0.123892,0.000515
10079,0.204530,0.202918,0.001612
54789,0.179844,0.182380,0.002536
54841,0.148903,0.151037,0.002134
24482,0.012909,0.020160,0.007251
19042,0.022491,0.029119,0.006628
6339,0.485321,0.486361,0.001040
52174,0.035497,0.038691,0.003194
34908,0.009066,0.011511,0.002445
18455,0.125181,0.127311,0.002130
16169,0.405558,0.408030,0.002472
4778,0.105083,0.108219,0.003136
33180,0.166500,0.167698,0.001198
41079,0.173255,0.173228,0.000027
27717,0.004793,0.006868,0.002075
27611,0.141894,0.142604,0.000710
31827,0.351655,0.352325,0.000670
9401,0.215806,0.216032,0.000226
2666,0.301536,0.299534,0.002002
10422,0.069215,0.070440,0.001225
59529,0.048986,0.049616,0.000630
42574,0.009446,0.011958,0.002512
50877,0.146221,0.144770,0.001451
33969,0.368241,0.367102,0.001139
57918,0.097590,0.103068,0.005478
60491,0.004943,0.007877,0.002934
18826,0.227527,0.226117,0.001410
1500,0.184800,0.186479,0.001679
23856,0.298398,0.295677,0.002721
24724,0.435822,0.436525,0.000703
56376,0.569343,0.570304,0.000961
39234,0.323206,0.320673,0.002533
3893,0.107911,0.111820,0.003909
38554,0.474077,0.471931,0.002146
50050,0.085369,0.087989,0.002620
58158,0.235461,0.235826,0.000365
17231,0.122086,0.121767,0.000319
25182,0.282860,0.280785,0.002075
14250,0.080634,0.081508,0.000874
35211,0.057007,0.056981,0.000026
11119,0.047630,0.050888,0.003258
7778,0.005598,0.008017,0.002419
21712,0.008844,0.011843,0.002999
11014,0.081135,0.080394,0.000741
62631,0.086309,0.088553,0.002244
63953,0.026730,0.032515,0.005785
17480,0.191149,0.189033,0.002116
33267,0.337063,0.335092,0.001971
52848,0.015727,0.023305,0.007578
39600,0.346038,0.343438,0.002600
14750,0.154892,0.154084,0.000808
46342,0.250313,0.248349,0.001964
65475,0.453156,0.453059,0.000097
1664,0.066290,0.069137,0.002847
29073,0.039446,0.038870,0.000576
31743,0.042295,0.044250,0.001955
57749,0.176840,0.178321,0.001481
47213,0.226522,0.225290,0.001232
32306,0.183469,0.183981,0.000512
18483,0.199681,0.199712,0.000031
43808,0.193369,0.182254,0.011115
35462,0.255865,0.254878,0.000987
16610,0.004188,0.008511,0.004323
63068,0.272060,0.273623,0.001563
39001,0.171144,0.172288,0.001144
10284,0.563546,0.562476,0.001070
47939,0.219580,0.218670,0.000910
47584,0.295181,0.293699,0.001482
44492,0.433426,0.429606,0.003820
21886,0.145142,0.144526,0.000616
49591,0.035594,0.038159,0.002565
25877,0.128364,0.129237,0.000873
4596,0.455759,0.453818,0.001941
37936,0.235783,0.235926,0.000143
18674,0.321228,0.323071,0.001843
34712,0.453932,0.451695,0.002237
21227,-0.000984,0.001966,0.002950
53671,0.187250,0.185038,0.002212
63879,0.376574,0.376873,0.000299
8132,0.305989,0.304659,0.001330
32633,0.217681,0.218270,0.000589
30,0.010652,0.014843,0.004191
54255,0.217032,0.213705,0.003327
58012,0.097079,0.099787,0.002708
35544,0.007792,0.011590,0.003798
28095,0.071550,0.075356,0.003806
6119,0.290415,0.290173,0.000242
9535,0.457071,0.456854,0.000217
66649,0.137298,0.136167,0.001131
22382,0.140047,0.140466,0.000419
17663,0.157047,0.156961,0.000086
20333,0.086929,0.090166,0.003237
25312,0.109576,0.111055,0.001479
54456,0.230193,0.229829,0.000364
6342,0.116680,0.115894,0.000786
27681,0.280331,0.280922,0.000591
11450,0.383622,0.379103,0.004519
30705,0.055971,0.058494,0.002523
36333,0.510461,0.508896,0.001565
23534,0.358959,0.357964,0.000995
19590,0.516316,0.515565,0.000751
17837,0.337240,0.338718,0.001478
60129,0.044031,0.047826,0.003795
44282,0.232574,0.234039,0.001465
41464,0.133089,0.132928,0.000161
40621,0.247716,0.248023,0.000307
54604,0.232654,0.232809,0.000155
15507,0.195021,0.193034,0.001987
56263,0.452314,0.453006,0.000692
53212,0.166131,0.168066,0.001935
22605,0.216151,0.215312,0.000839
54897,0.198763,0.201037,0.002274
39988,0.469855,0.468726,0.001129
36968,0.570264,0.572133,0.001869
64163,0.447196,0.446106,0.001090
65672,0.084864,0.086734,0.001870
34499,0.305794,0.307223,0.001429
53063,0.331997,0.330006,0.001991
18850,0.173346,0.174228,0.000882
10319,0.400490,0.397204,0.003286
64638,0.286589,0.284524,0.002065
20999,0.116749,0.116959,0.000210
8310,0.281112,0.281009,0.000103
43857,0.158893,0.158279,0.000614
15612,0.244159,0.241424,0.002735
8538,0.309456,0.308760,0.000696
53677,0.215133,0.214167,0.000966
